,action,instance_id,step,type,strtype
509,6,5056,5,['16'],['16']
510,5,5056,6,"['26', '24']","['26', '24']"
511,7,5056,7,['14'],['14']
512,1,5056,8,"['14', '16']","['14', '16']"
513,9,5057,0,['14'],['14']
514,8,5057,1,['24'],['24']
515,7,5057,2,['16'],['16']
516,6,5057,3,"['14', '16']","['14', '16']"
517,8,5057,4,"['24', '24']","['24', '24']"
518,5,5057,5,['26'],['26']
519,4,5057,6,"['24', '24']","['24', '24']"
520,1,5057,7,"['26', '24']","['26', '24']"
521,9,5057,8,"['14', '14']","['14', '14']"
522,9,5058,0,"['24', '26']","['24', '26']"
523,9,5058,1,"['24', '24']","['24', '24']"
524,8,5058,2,"['24', '24']","['24', '24']"
525,7,5058,3,['26'],['26']
526,8,5058,4,['24'],['24']
527,6,5058,5,"['14', '14']","['14', '14']"
528,5,5058,6,"['16', '14']","['16', '14']"
529,6,5058,7,['14'],['14']
530,4,5058,8,['16'],['16']
531,9,5059,0,"['14', '14']","['14', '14']"
532,8,5059,1,['26'],['26']
533,7,5059,2,['24'],['24']
534,6,5059,3,"['24', '26']","['24', '26']"
535,5,5059,4,"['14', '16']","['14', '16']"
536,7,5059,5,"['24', '24']","['24', '24']"
537,4,5059,6,"['24', '24']","['24', '24']"
538,9,5059,7,['14'],['14']
539,3,5059,8,['16'],['16']
540,9,5060,0,"['24', '26']","['24', '26']"
541,8,5060,1,['26'],['26']
542,7,5060,2,"['16', '14']","['16', '14']"
543,9,5060,3,['24'],['24']
544,6,5060,4,['16'],['16']
545,5,5060,5,"['24', '24']","['24', '24']"
546,4,5060,6,"['14', '14']","['14', '14']"
547,1,5060,7,"['24', '24']","['24', '24']"
548,3,5060,8,['14'],['14']
549,9,5061,0,"['14', '16']","['14', '16']"
550,9,5061,1,['14'],['14']
551,8,5061,2,"['24', '26']","['24', '26']"
552,8,5061,3,['24'],['24']
553,7,5061,4,['26'],['26']
554,6,5061,5,"['14', '14']","['14', '14']"
555,5,5061,6,['16'],['16']
556,4,5061,7,"['24', '24']","['24', '24']"
557,1,5061,8,"['24', '24']","['24', '24']"
558,9,5062,0,"['26', '24']","['26', '24']"
559,8,5062,1,['24'],['24']
560,7,5062,2,"['16', '14']","['16', '14']"
561,8,5062,3,"['24', '24']","['24', '24']"
562,6,5062,4,"['24', '24']","['24', '24']"
563,5,5062,5,"['14', '14']","['14', '14']"
564,9,5062,6,['26'],['26']
565,4,5062,7,['16'],['16']
566,5,5062,8,['14'],['14']
567,9,5063,0,"['14', '14']","['14', '14']"
568,8,5063,1,"['26', '24']","['26', '24']"
569,7,5063,2,"['24', '24']","['24', '24']"
570,6,5063,3,"['14', '16']","['14', '16']"
571,8,5063,4,['26'],['26']
572,5,5063,5,['16'],['16']
573,9,5063,6,['14'],['14']
574,7,5063,7,['24'],['24']
575,4,5063,8,"['24', '24']","['24', '24']"
576,9,5064,0,"['24', '24']","['24', '24']"
577,8,5064,1,"['14', '14']","['14', '14']"
578,7,5064,2,['16'],['16']
