,action,instance_id,step,type,strtype
611,1,4067,8,"['14', '16']","['14', '16']"
612,1,4068,0,"['14', '16']","['14', '16']"
613,5,4068,1,"['24', '24']","['24', '24']"
614,6,4068,2,"['14', '14']","['14', '14']"
615,7,4068,3,['24'],['24']
616,6,4068,4,['14'],['14']
617,4,4068,5,"['24', '24']","['24', '24']"
618,3,4068,6,['16'],['16']
619,8,4068,7,"['24', '26']","['24', '26']"
620,8,4068,8,['26'],['26']
621,8,4069,0,"['26', '24']","['26', '24']"
622,6,4069,1,"['14', '14']","['14', '14']"
623,5,4069,2,"['24', '24']","['24', '24']"
624,4,4069,3,['24'],['24']
625,7,4069,4,"['24', '24']","['24', '24']"
626,8,4069,5,['26'],['26']
627,1,4069,6,"['16', '14']","['16', '14']"
628,6,4069,7,['14'],['14']
629,3,4069,8,['16'],['16']
630,8,4070,0,"['26', '24']","['26', '24']"
631,1,4070,1,"['16', '14']","['16', '14']"
632,6,4070,2,"['14', '14']","['14', '14']"
633,3,4070,3,['16'],['16']
634,4,4070,4,"['24', '24']","['24', '24']"
635,6,4070,5,['14'],['14']
636,8,4070,6,['26'],['26']
637,5,4070,7,"['24', '24']","['24', '24']"
638,7,4070,8,['24'],['24']
639,2,4071,0,['16'],['16']
640,6,4071,1,"['14', '14']","['14', '14']"
641,1,4071,2,"['16', '14']","['16', '14']"
642,6,4071,3,['14'],['14']
643,4,4071,4,"['24', '24']","['24', '24']"
644,7,4071,5,['24'],['24']
645,5,4071,6,"['24', '24']","['24', '24']"
646,8,4071,7,['26'],['26']
647,8,4071,8,"['24', '26']","['24', '26']"
